property_town,region,central_region_category
ANG MO KIO,North,Outside Central Region
BEDOK,East,Outside Central Region
BISHAN,North,Rest of Central Region
BUKIT BATOK,West,Outside Central Region
BUKIT MERAH,Central,Rest of Central Region
BUKIT PANJANG,West,Outside Central Region
BUKIT TIMAH,Central,Core Central Region
CENTRAL AREA,Central,Core Central Region
CHOA CHU KANG,West,Outside Central Region
CLEMENTI,West,Outside Central Region
GEYLANG,East,Outside Central Region
HOUGANG,North,Outside Central Region
JURONG EAST,West,Outside Central Region
JURONG WEST,West,Outside Central Region
KALLANG/WHAMPOA,Central,Rest of Central Region
MARINE PARADE,East,Outside Central Region
PASIR RIS,East,Outside Central Region
PUNGGOL,North,Outside Central Region
QUEENSTOWN,Central,Rest of Central Region
SEMBAWANG,North,Outside Central Region
SENGKANG,North,Outside Central Region
SERANGOON,North,Outside Central Region
TAMPINES,East,Outside Central Region
TOA PAYOH,Central,Rest of Central Region
WOODLANDS,North,Outside Central Region
YISHUN,North,Outside Central Region